Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate
47041,6526.0,42.0,68030.0,28923.0,638.0,9.776279497395036
47043,5460.0,46.4,49676.0,25642.0,758.0,13.882783882783883
47102,6970.0,41.9,35174.0,18443.0,1751.0,25.121951219512194
47116,603.0,51.6,49375.0,22902.0,49.0,8.12603648424544
47119,11336.0,44.5,92647.0,46836.0,173.0,1.5261115031757233
47124,4607.0,41.6,76793.0,31499.0,105.0,2.2791404384632084
47163,1500.0,49.0,62534.0,33312.0,104.0,6.933333333333334
47175,920.0,47.3,39479.0,21692.0,105.0,11.41304347826087
47240,21579.0,38.7,56228.0,27514.0,2594.0,12.020946290374901
47260,1811.0,39.7,41196.0,21817.0,435.0,24.01987852015461
47281,1199.0,43.1,64013.0,32004.0,26.0,2.1684737281067554
47302,26816.0,40.8,35593.0,20319.0,6602.0,24.619630071599044
47304,31899.0,35.3,53598.0,30025.0,5207.0,16.323395717734098
47325,560.0,45.4,63333.0,21201.0,32.0,5.714285714285714
47326,2277.0,26.1,57697.0,18915.0,647.0,28.41458058849363
46228,15586.0,38.9,65524.0,33138.0,1736.0,11.138200949570127
46231,10312.0,36.3,63488.0,29949.0,1079.0,10.463537626066719
46254,40603.0,30.5,45138.0,23246.0,7018.0,17.284437110558333
46260,33215.0,34.0,47919.0,35257.0,6102.0,18.37121782327262
46278,8481.0,43.3,109891.0,55920.0,386.0,4.5513500766419055
46031,2336.0,45.4,76131.0,33495.0,107.0,4.580479452054795
46034,6434.0,44.6,72451.0,35828.0,372.0,5.781784271059994
46047,137.0,37.2,-666666666.0,13228.0,53.0,38.68613138686131
46050,2215.0,36.9,63636.0,23792.0,390.0,17.607223476297968
46076,1431.0,47.6,49107.0,27808.0,198.0,13.836477987421384
46112,37047.0,37.6,80394.0,35099.0,1387.0,3.7438928928118336
46113,15663.0,35.9,72430.0,28214.0,1143.0,7.2974525952882585
46120,5090.0,43.7,61605.0,26680.0,671.0,13.18271119842829
46166,2101.0,33.8,69167.0,26846.0,386.0,18.372203712517848
46173,10093.0,42.4,46073.0,24611.0,1771.0,17.54681462399683
46176,27603.0,40.0,55641.0,27308.0,3620.0,13.114516538057458
46184,13508.0,35.1,67913.0,28325.0,713.0,5.278353568255849
46218,27851.0,38.6,24993.0,17718.0,9221.0,33.108326451473914
46220,36731.0,36.2,68725.0,47032.0,2524.0,6.8715798644197
46614,30647.0,40.7,51933.0,29730.0,3872.0,12.63418931706203
46617,9422.0,34.1,59525.0,39881.0,1039.0,11.027382721290596
46635,6901.0,46.4,52621.0,29226.0,942.0,13.650195623822635
46737,7502.0,49.1,58488.0,32145.0,695.0,9.264196214342842
46573,3744.0,39.0,63750.0,30120.0,209.0,5.582264957264957
46637,15251.0,36.5,56109.0,30653.0,1710.0,11.212379516097306
46320,13703.0,31.4,30439.0,17983.0,4795.0,34.99233744435525
46536,3065.0,46.2,55833.0,27562.0,366.0,11.941272430668842
46914,1484.0,45.4,60156.0,27084.0,122.0,8.221024258760108
46052,22255.0,42.5,59917.0,33699.0,1545.0,6.9422601662547745
46147,3128.0,42.2,67396.0,31345.0,315.0,10.070332480818415
46060,40387.0,33.2,73936.0,31991.0,3300.0,8.170946096516206
46580,21701.0,37.1,56429.0,29887.0,2117.0,9.755310815169809
46501,3580.0,35.9,54318.0,22569.0,387.0,10.810055865921788
46746,4695.0,37.8,53047.0,24279.0,547.0,11.650692225772097
46994,2892.0,41.3,51546.0,24505.0,126.0,4.356846473029045
46049,898.0,47.4,51316.0,33141.0,80.0,8.908685968819599
46135,20800.0,36.0,51956.0,22498.0,2031.0,9.764423076923077
46236,28147.0,38.9,82848.0,41636.0,2304.0,8.185597044089956
46319,17781.0,38.2,60531.0,29518.0,1517.0,8.53157865136944
46221,26984.0,34.1,47768.0,21154.0,5230.0,19.381855914616068
46227,56614.0,34.2,40625.0,23141.0,10869.0,19.19843148337867
46268,25247.0,35.3,52149.0,29234.0,3000.0,11.882599912860934
46324,22039.0,35.2,46158.0,22473.0,4535.0,20.57715867326104
46349,2838.0,49.6,60972.0,27925.0,484.0,17.05426356589147
46368,38715.0,38.9,54775.0,27422.0,6348.0,16.39674544750097
46374,1115.0,28.2,80104.0,45384.0,66.0,5.9192825112107625
46377,287.0,52.3,-666666666.0,24179.0,13.0,4.529616724738676
46930,90.0,51.5,53750.0,19304.0,3.0,3.3333333333333335
46938,2984.0,45.6,48333.0,22179.0,262.0,8.780160857908847
46947,28125.0,40.1,45249.0,23086.0,4481.0,15.932444444444444
46950,569.0,48.0,50708.0,23157.0,52.0,9.13884007029877
46951,1922.0,44.6,47222.0,25131.0,182.0,9.46930280957336
46970,23381.0,38.6,43115.0,21933.0,4248.0,18.168598434626407
46514,41297.0,39.2,52535.0,26574.0,5812.0,14.073661525050246
46582,13546.0,34.0,64122.0,28990.0,1342.0,9.906983611398198
46721,4981.0,38.4,59783.0,25272.0,343.0,6.88616743625778
46748,5228.0,37.8,90688.0,36601.0,247.0,4.724560061208876
46760,1363.0,40.1,51528.0,23932.0,106.0,7.776962582538518
46761,12126.0,31.9,53820.0,21257.0,1154.0,9.516740887349497
46776,1399.0,44.4,54038.0,24649.0,168.0,12.008577555396712
46793,4662.0,38.8,57389.0,25958.0,345.0,7.4002574002574
46797,3597.0,37.9,66456.0,26773.0,194.0,5.393383375034751
46391,10053.0,37.3,68063.0,20265.0,586.0,5.829105739580225
46045,78.0,60.5,55227.0,36447.0,18.0,23.076923076923077
46056,2347.0,49.8,70754.0,35282.0,81.0,3.4512143161482745
46057,1251.0,35.5,67704.0,27285.0,143.0,11.430855315747403
46531,1510.0,49.3,53636.0,23658.0,183.0,12.119205298013245
46542,4083.0,37.7,59623.0,23741.0,421.0,10.311045799657116
46545,24871.0,36.9,42577.0,25828.0,3909.0,15.717100237224077
46550,12786.0,32.2,58005.0,25326.0,533.0,4.1686219302361955
46556,7269.0,20.5,25208.0,6083.0,520.0,7.153666253955152
46565,8698.0,27.0,68690.0,23592.0,384.0,4.4148080018395035
46570,1039.0,46.7,47740.0,22831.0,135.0,12.993262752646777
46601,6004.0,33.9,18711.0,12170.0,2643.0,44.02065289806796
46356,17822.0,38.7,74053.0,30085.0,939.0,5.268768937268544
46366,5690.0,42.6,48561.0,22266.0,655.0,11.511423550087873
46373,15480.0,44.4,103232.0,42787.0,460.0,2.9715762273901807
46393,322.0,50.1,58333.0,22822.0,24.0,7.453416149068323
46409,7350.0,40.9,28808.0,15509.0,2363.0,32.14965986394558
46385,39360.0,40.8,77430.0,36440.0,2957.0,7.51270325203252
46408,15728.0,40.3,36662.0,19217.0,4246.0,26.996439471007122
46502,22.0,-666666666.0,-666666666.0,,0.0,0.0
46510,3997.0,41.2,51094.0,23761.0,477.0,11.933950462847136
46530,31593.0,40.5,101526.0,45592.0,1322.0,4.184471243629918
46532,1594.0,44.5,54107.0,28056.0,101.0,6.336260978670013
46940,2632.0,46.3,62337.0,27980.0,146.0,5.547112462006079
46989,4824.0,23.8,68214.0,23382.0,314.0,6.509121061359867
46819,9580.0,40.9,47974.0,24987.0,925.0,9.65553235908142
46845,22929.0,40.1,93060.0,41768.0,756.0,3.297134632997514
46110,608.0,40.2,55625.0,23875.0,124.0,20.394736842105264
46130,2440.0,44.2,83206.0,36238.0,51.0,2.0901639344262297
47034,100.0,45.2,28500.0,17317.0,35.0,35.0
47994,301.0,41.8,53125.0,25360.0,45.0,14.950166112956811
47713,10427.0,38.2,26595.0,17424.0,4111.0,39.4264889229884
47840,1815.0,36.8,64441.0,24130.0,130.0,7.162534435261708
47855,523.0,40.7,40417.0,17756.0,159.0,30.40152963671128
47862,1508.0,35.7,44542.0,21772.0,238.0,15.782493368700266
47874,3102.0,44.5,45363.0,23874.0,359.0,11.57317859445519
47926,1333.0,35.1,52083.0,24965.0,98.0,7.351837959489872
47394,8167.0,44.9,45582.0,24428.0,1309.0,16.02791722786825
47380,1612.0,40.5,48111.0,23523.0,183.0,11.352357320099255
47385,1319.0,44.5,52692.0,27678.0,169.0,12.812736921910538
47615,1756.0,42.7,50607.0,23748.0,206.0,11.731207289293849
47471,2717.0,38.2,48438.0,23020.0,382.0,14.059624585940375
47520,2854.0,46.2,41780.0,22937.0,619.0,21.688857743517868
47553,8260.0,38.6,53480.0,24179.0,871.0,10.544794188861985
47528,462.0,47.3,45625.0,22070.0,22.0,4.761904761904762
47542,10196.0,39.4,52878.0,24606.0,1344.0,13.181639858768145
47550,744.0,41.3,73083.0,31418.0,18.0,2.4193548387096775
47578,835.0,50.8,57875.0,29327.0,40.0,4.790419161676646
47584,140.0,51.8,41000.0,24065.0,12.0,8.571428571428571
47598,3191.0,38.4,52500.0,24713.0,398.0,12.47257912879975
47601,14019.0,43.4,57954.0,31985.0,1628.0,11.6128111848206
47638,3483.0,41.8,73162.0,35670.0,183.0,5.254091300602928
47712,26881.0,33.1,49067.0,27763.0,3697.0,13.753208585990105
47836,0.0,-666666666.0,-666666666.0,-666666666.0,0.0,
47841,2259.0,41.7,42583.0,21261.0,245.0,10.845506861443116
47847,1185.0,38.8,56750.0,27038.0,210.0,17.72151898734177
47848,1670.0,46.9,47794.0,25196.0,199.0,11.916167664670658
47849,331.0,58.5,57143.0,40540.0,41.0,12.386706948640484
47860,384.0,43.4,40625.0,18334.0,79.0,20.572916666666668
47861,853.0,30.4,72981.0,22369.0,131.0,15.357561547479484
47866,593.0,39.0,41538.0,18144.0,251.0,42.32715008431703
47881,361.0,43.4,50179.0,21289.0,44.0,12.18836565096953
47904,17225.0,32.5,37495.0,20891.0,3299.0,19.152394775036285
47905,41910.0,36.0,57394.0,29905.0,5678.0,13.548079217370557
46033,38569.0,41.0,132432.0,56609.0,897.0,2.3257019886437296
46036,11850.0,42.2,46189.0,25426.0,2143.0,18.08438818565401
46540,11789.0,34.2,76986.0,29361.0,523.0,4.436338960047502
46567,8608.0,46.5,57399.0,34757.0,784.0,9.107806691449815
46613,10980.0,30.0,38828.0,16357.0,2509.0,22.85063752276867
46616,5654.0,31.6,40644.0,20525.0,1333.0,23.576229218252564
46619,21775.0,34.4,39143.0,17441.0,5765.0,26.47531572904707
46701,8008.0,42.3,57011.0,26439.0,586.0,7.317682317682317
46711,8308.0,29.2,48408.0,19691.0,1657.0,19.944631680308138
46740,4333.0,26.4,46714.0,17771.0,1082.0,24.971151627048233
46747,2467.0,47.5,48542.0,25998.0,230.0,9.323064450749898
46240,19706.0,41.8,58982.0,46616.0,2649.0,13.442606312798132
46310,14063.0,40.3,60463.0,25263.0,935.0,6.6486524923558274
46923,8246.0,41.5,55250.0,29389.0,851.0,10.320155226776619
46936,5947.0,44.7,67029.0,30428.0,339.0,5.700353119219774
46952,18823.0,46.3,45037.0,25601.0,2977.0,15.815757318174574
46957,612.0,43.6,39196.0,17331.0,129.0,21.07843137254902
46968,26.0,40.7,-666666666.0,26996.0,0.0,0.0
46982,2413.0,40.7,49623.0,23426.0,573.0,23.74637380853709
46986,1571.0,43.9,47321.0,25509.0,161.0,10.248249522597073
46151,31810.0,41.2,59727.0,27663.0,3842.0,12.077962904746935
46156,1606.0,46.9,50417.0,27752.0,340.0,21.1706102117061
46158,22925.0,42.7,63167.0,29274.0,2541.0,11.083969465648854
46202,20007.0,29.8,41123.0,32390.0,5030.0,25.141200579797072
46205,27869.0,32.9,46157.0,31411.0,6249.0,22.42276364419247
46975,14615.0,42.2,50026.0,25346.0,2084.0,14.259322613752994
46404,17014.0,38.0,31909.0,18848.0,5302.0,31.1625719995298
46217,35190.0,34.5,62083.0,28417.0,3506.0,9.963057686842854
46342,30634.0,38.1,58250.0,26218.0,4353.0,14.209701638702096
46035,1082.0,39.1,57500.0,28598.0,94.0,8.687615526802219
46543,3289.0,24.4,78480.0,26197.0,185.0,5.62480997263606
46792,3801.0,42.8,57500.0,28306.0,237.0,6.235201262825572
46702,1999.0,49.1,58592.0,28862.0,196.0,9.804902451225614
46787,3732.0,40.3,54291.0,28064.0,387.0,10.369774919614148
46065,3499.0,39.3,61902.0,24320.0,243.0,6.944841383252358
46121,5716.0,43.1,64464.0,31251.0,407.0,7.12036389083275
46180,943.0,48.8,51932.0,27818.0,56.0,5.938494167550371
46259,11364.0,36.9,104130.0,35937.0,201.0,1.7687434002111933
46037,42231.0,36.1,113910.0,49378.0,1086.0,2.5715706471549336
46062,35151.0,36.7,85037.0,41114.0,1738.0,4.944382805610082
46146,308.0,24.3,75881.0,20449.0,0.0,0.0
46183,15.0,-666666666.0,-666666666.0,,0.0,0.0
46704,38.0,27.3,-666666666.0,17561.0,6.0,15.789473684210526
46771,0.0,-666666666.0,-666666666.0,-666666666.0,0.0,
46786,41.0,73.4,-666666666.0,21468.0,0.0,0.0
46915,584.0,47.9,53750.0,27837.0,36.0,6.164383561643835
46922,29.0,30.3,-666666666.0,,0.0,0.0
46967,101.0,44.4,38500.0,18828.0,33.0,32.67326732673267
