,NAME,ADDRESS,CITY,STATE,ZIP,LEVEL,ENROLLMENT,START_GRADE,END_GRADE,DISTRICT_ID
950,EEL RIVER ELEMENTARY SCHOOL,12723 BETHEL RD,FORT WAYNE,IN,46818,1,507,KG,05,1808250
951,HENDRY PARK ELEMENTARY SCHOOL,805 S WASHINGTON ST,ANGOLA,IN,46703,1,387,KG,05,1811100
952,EAST CHICAGO CENTRAL HIGH SCH,1100 W COLUMBUS DR,EAST CHICAGO,IN,46312,3,1176,09,12,1802880
953,HAMILTON COMMUNITY HIGH SCH,903 S WAYNE ST,HAMILTON,IN,46742,3,207,07,12,1804230
954,GARY LIGHTHOUSE CHARTER SCHOOL,3201 PIERCE ST,GARY,IN,46408,4,1460,KG,12,1800052
955,SAINT JOSEPH CENTRAL SCHOOL,6341 ST JOE CTR RD,FORT WAYNE,IN,46835,1,447,KG,05,1803630
956,FERDINAND ELEMENTARY SCHOOL,402 E 8TH ST,FERDINAND,IN,47532,1,293,PK,04,1810640
957,NORTH SIDE ELEMENTARY SCHOOL,302 E HARDING ST,KENDALLVILLE,IN,46755,1,382,KG,06,1802970
958,CRESTON MIDDLE SCHOOL,10925 E PROSPECT ST,INDIANAPOLIS,IN,46239,2,633,07,08,1812360
959,LILLIE IDELLA KITLEY ELEMENTARY,8735 INDIAN CREEK RD,INDIANAPOLIS,IN,46259,1,1159,PK,05,1803750
960,LINDLEY ELEMENTARY SCHOOL,2201 ARDMORE AVE,FORT WAYNE,IN,46802,1,464,PK,05,1803630
961,BOONE MEADOW,5555 S MAIN ST,WHITESTOWN,IN,46075,1,378,PK,04,1802830
962,MENOMINEE ELEMENTARY SCHOOL,815 DISCOVERY LN,PLYMOUTH,IN,46563,1,398,KG,05,1809060
963,LAKESIDE MIDDLE SCHOOL,2100 LAKE AVE,FORT WAYNE,IN,46805,2,461,06,08,1803630
964,BRIDGEPOINT ELEMENTARY SCHOOL,420 EWING LN,JEFFERSONVILLE,IN,47130,1,398,PK,05,1803940
965,FAYETTEVILLE ELEMENTARY SCH,223 OLD FARM RD,BEDFORD,IN,47421,1,168,KG,05,1807860
966,HUNTINGBURG ELEMENTARY SCHOOL,501 W SUNSET DR,HUNTINGBURG,IN,47542,1,636,KG,05,1810870
967,SAND CREEK ELEMENTARY,11420 E 131ST ST,FISHERS,IN,46038,1,827,KG,04,1810650
968,CHRISTEL HOUSE ACADEMY WEST,55 N TIBBS AVE,INDIANAPOLIS,IN,46222,1,126,KG,02,1800149
969,WHITE RIVER VALLEY JR/SR HIGH SCH,5644 W SR 54,SWITZ CITY,IN,47465,3,374,07,12,1800008
970,FLOYDS KNOBS ELEMENTARY SCHOOL,4484 SCOTTSVILLE RD,FLOYDS KNOBS,IN,47119,1,622,KG,04,1807410
971,SUMMITVILLE SCHOOL,405 E MILL ST,SUMMITVILLE,IN,46070,1,308,PK,06,1806240
972,HATTIE B STOKES ELEMENTARY SCHOOL,1005 HENDRICKS DR,LEBANON,IN,46052,1,464,KG,05,1805790
973,FRANCIS BELLAMY PRE-SCHOOL CENTER,9501 E 36TH ST,INDIANAPOLIS,IN,46236,1,126,PK,PK,1804770
974,PITTSBORO PRIMARY SCHOOL,540 OSBORNE ST,PITTSBORO,IN,46167,1,292,PK,02,1808100
975,DECATUR TWP SCHL FOR EXCELLENCE,5106 S HIGH SCHOOL RD,INDIANAPOLIS,IN,46221,3,269,08,12,1802640
976,MCLEAN EDUCATION CENTER (ALT),961 LAFAYETTE AVE,TERRE HAUTE,IN,47804,4,133,06,12,1812090
977,MISSISSINEWA HIGH SCHOOL,1 INDIAN TRL,GAS CITY,IN,46933,3,810,09,12,1806870
978,BARR REEVE MIDDLE/HIGH SCHOOL,627 N 3RD ST,MONTGOMERY,IN,47558,4,381,06,12,1800330
979,MANCHESTER ELEMENTARY SCHOOL,9387 SR 48,AURORA,IN,47001,1,291,KG,06,1800240
980,MURDOCK ELEMENTARY SCHOOL,2100 CASON ST,LAFAYETTE,IN,47904,1,245,KG,04,1805400
981,SUMMIT MIDDLE SCHOOL,4509 HOMESTEAD RD,FORT WAYNE,IN,46814,2,693,06,08,1800030
982,SUNMAN ELEMENTARY SCHOOL,925 N MERIDIAN,SUNMAN,IN,47041,1,367,PK,04,1811190
983,ROANOKE ELEMENTARY SCHOOL,423 W VINE ST,ROANOKE,IN,46783,1,330,KG,05,1804710
